"text","sentiment"
"The government must provide hand sanitizer in all public buildings and transport hubs, as a matter of the utmost urgency.

The state must penalize any business trying to profit from this crisis by rising prices for essential items like hand sanitizer. #COVID19ireland #COVID2019 https://t.co/tzyJ2KwJp7","Positive"
"See the new @FujifilmX_US X-T4 and X100V at Roberts! Join us on Saturday March 14th at Roberts Downtown location from 10am to 5pm.

Make sure to stop in and register for a FREE mystery giveaway! https://t.co/KUA79uARxv https://t.co/P6etFT5U7f","Positive"
"We (@hamiltonpoverty) are calling on Canadian Federal Government ?? to provide #BasicIncome 'Well-being and Stimulus Payments' during current COVID-19 situation. A basic income (even interim) could help keep people healthy, then revive consumer confidence and spending. #CdnPoli https://t.co/wRmkWLhJku","Positive"
"Pretty good chance that your waiter/waitress, grocery/department store clerk, or Uber/Taxi driver, doesn't have health insurance or paid sick leave. 

Also a pretty good chance that these people come in contact with #COVID19 #coronavirus 

Still think Bernie's radical? Good luck.","Positive"
"Hey guysss! We have a very important message to all our friends, family &amp; viewers out there. Be aware of Corona Virus and follow these procedures to help keep you and your family safe.

#aadyasitara? #aadya #sitara #coronavírus #coronaaleart #covid_19 #staysafe #sanitizer #covid https://t.co/pHWGsygy06","Positive"
"One of the BEAUTIFUL things about working at home and having a strictly online small business? Covid-19 isnt transmittable through email. So keep shopping!  https://t.co/qJkUcaWGC2","Positive"
"@theJagmeetSingh Please ask the government about food security for coming months in case of crisis due to #coronavirus? 

Most of the Canadian r afraid and buying stock for the coming months. Its hard to find Lysol wipes, hand sanitizers, hand soaps","Positive"
"Trevor, an RD at #TCFD, shares helpful tips when it comes to stocking up on food during a #coronavirus quarantine. Stock your pantry as you always do &amp; aim for your diet to consist of protein, fat, carbs, fruits, &amp; veggies: https://t.co/cLaz9cYzsd. @MichaelRosen27 #FoodIsMedicine","Positive"
"Coronavirus and food: the latest

Good piece by @marionnestle
 
https://t.co/xKRpnlIPja

I'm curious. Here's an informal poll for all:
If you are taking #COVID infection precautions &amp; are stockpiling foods &amp; other essential supplies right now, how many weeks are you planning for?","Positive"
"Charities like @YouthEastside @ClubInsider are scrambling after  cancelling big fundraisers due to #COVID19seattle  Here's how @UpayaSV went virtual &amp; in 4 days raised more $ than they dreamed! Share these tips! @SeattleFdn  #KOMONews  https://t.co/G9ju8WjB6f https://t.co/6eZHpdJWOZ","Positive"
"SANITIZER SPECIAL ...Free squirt of sanitizer with the purchase of an Awesome Donut &amp; Great cup of Coffee.  #coronavirus #CoronaVirusUpdate #therightcoffee #sanitizer https://t.co/UNCqGOaIgt","Positive"
"Fill up the fridge with enough food, ready medical supplies, water, avoid crowd, be updated with news, dont panic, work from home if feasible, boost immune system by drinking vitamins and always wash hands. Stay safe and healthy! #COVID2019 #metroManilaCovid","Positive"
"I'm getting lots of retail-related #coronavirus questions at the moment, but one I don't really know the answer to (from @ServiceDock) is:

""How should store staff react if someone is coughing and sneezing in the checkout queue?""

Any thoughts, instore friends? ? https://t.co/TlxTboYXt4","Positive"
"Remember that a good diet is key to health! Come stock up on fresh food including high vitamin-C citrus at our markets. 
#coronavirus","Positive"
"Since the #coronavirus is now a  #pandemic, I will be online shopping for most of my stuff &amp; limiting how much I go outside. 

All items purchased from us will be in its original packaging &amp; handled w/ gloves.

Be safe, Be blessed ???","Positive"
"Citigroup CEO Michael Corbat:

This is not a financial crisis. The banks and the financial system are in sound shape and we are here to help.

Live updates: https://t.co/rY0cog7PtR https://t.co/wAjY11hUIy","Positive"
"Please please please please please DON'T PANIC BUY!!! We have a better chance of overcoming this crisis if we stay calm and cooperate. EVERYONE needs soap, alcohol etc. to stay clean and EVERYONE needs access to food and water to stay healthy. #COVID2019 https://t.co/yd5BaNY5RP","Positive"
"Sitting here counting my blessings. I have a walking trail behind my house. I decent gym in my garage. A pool and a lovely home.
If I am shut up for a few weeks or months it will ok. 

That being said. Headed to the grocery store to stock up on frozen pizza and IPA. 
#coronavirus","Positive"
"What ever financial relief comes out of DC !!!MUST!!!! include consumer financial relief for their utilities: Electric, Gas, Water #WhiteHouse #COVID2019","Positive"
"I'm not panicking about #coronavirus; ask the cashiers at my local #smartfoodservice and they'll tell you I've never needed a reason to stock up on food and not leave the house for weeks at a time. The fact that OTHER people are now ALSO doing this is annoying. But also wise.","Positive"
"Its fucked when you can come up with a solid plan in your store  to combat #coronavirus better then the higher ups (rich owners) can. Im curious to know what retail stores are doing to keep employees safe. Ive seen one coffee shop not take cash anymore and another has","Positive"
"Im trying not to be paranoid about the #coronavirus, but I admit I have been binging Prepper videos on YouTube. Its probably a wise idea for all of us to stock up on supplies, food, medicine, water, booze...?","Positive"
"Small reminder: stock up on bar soap for your local food pantry/ place of worship. Our guests at our feeding ministry have asked for it (more portable than liquid hand soap) &amp; they need to stay safe from covid-19 too.","Positive"
"More than 8,000 Arlington Public Schools students won't get free or reduced lunches if schools close due to #coronavirus. Donate and share this link for a fundraiser organized by APS teachers to give grocery store gift cards to food insecure families. https://t.co/jv2lBWFgsQ","Positive"
"So, according to this dude if you eat Rama margarine, leaver spread, Koo Beans, #CoronaVirus checks into your system &amp; if it doesnt like the food you eat, the virus checks out &amp; may host itself into someone that eats like ciabatta. So stock up on Koo Beans #CoronaVirusInSA https://t.co/jQSmBxpXs7 https://t.co/7z8Ff2jHY5","Positive"
"Local authorities are being encouraged to relax planning restrictions around delivery times and store opening hours to ensure supermarkets and other retailers are able to maintain stock levels during the #coronavirus outbreak.??

https://t.co/QKDSZygO52

#COVID?19 https://t.co/XZfNZ9vesA","Positive"
"Food for thought.....

""everyone is running around stocking up on toilet paper?...

wouldn't it be better to stock up on Vitamin C and Probiotic to boost your immune system?""

#coronavirus #Corona #ThoughtOfTheDay","Positive"
"Are you worried about #food and the #coronavirus Stock up on items like @CrispyGreen Healthy, freeze-dried, no added sugar &amp; #foodallergy friendly ?#food #fruit https://t.co/b9fRwI3pSW","Positive"
"#coronavirus intel
Just talked to a friend who owns multiple fast food franchises and he said likely will have to shut down next week to protect his employees. So stock up on canned goods and food because ur local delis, restaurants fast food franchises may not be open in a week.","Positive"
"Oregon Cheese Festival officially postponed due to #coronavirus
Keep your fingers crossed for microbusinesses like ours. 
Wanna support us by shopping online?
We'll put a trial sized package and a sticker in with every order received through this weekend.
https://t.co/r5jB2VVfh3","Positive"
"Could I beg people w/ means to PLEASE take it easy on the hoarding during #CoronavirusPandemic #Covid_19 .  People who have less money can't stock up. Older ppl &amp; ppl w/ disabilities can't carry or store so much. Leave some food &amp; toilet paper for others.  Please.","Positive"
"Those rich Pricks selling us water at gas prices, next, they sell us #sunshine, energy,  Next #air (Ioxygen) in portable clip on sacs. The rich always create crisis of fear for profit. Now World leaders, Hollywood &amp; Rich support by claiming they are contaminated #Covid_19","Positive"
"The Coronavirus virus has people buying up all the toilet paper and selling them at jacked up prices on places like Amazon too. Save some butt wipe for the rest of us. #Coronavirus #COVD19 #Covid_19  #CoronavirusPandemic","Positive"
"Call. Demand. Amplify:
-Free #coronavirus testing 
-Paid emergency leave for workers
-Enhanced unemployment insurance
-Strengthened food security initiatives
-Clear protections for frontline workers
-Increased federal funds for Medicaid
https://t.co/FrLdJIcorO","Positive"
"#CoronavirusPandemic #Covid_19 #handsanitizer 
Their was a post about hand sanitizer that was placed about us that has false prices. We have never sold any Purells at $5.00 oz. We have over 200 happy local customers that have seen our prices.Sorry for any confusion. All out stock https://t.co/lilP3NZunp","Positive"
"Please do not panic. 

There will be no food&amp;supply scarcity but there will be a logistical clusterfuck if everyone panicks and raids supermarket shelves like a meteor just hit the earth.

#Covid_19","Positive"
"A friend of mine just got chewed out by her mgr for asking about a coworker. She is showing all signs for #Covid_19 and was just at an international convention last week but the mgrs response? Dont spread rumors. 

My friend is 8 months pregnant and this is at a grocery store","Positive"
"Is it gay to use hand sanitizer to prevent coronavirus? 

Pastor says only sissies &amp; pansies wash their hands to prevent #coronavirus

According to the conservative Christian pastor, Christians who use hand sanitizer have ""fake faith"" and ""no balls.""

https://t.co/ZLkI8H52La","Positive"
"Smartphones are the main devices for online shopping during peaks - seen at @DigitalCityFest today. Thanks @markbodoano!?? 

I reckon #retailers with mobile-responsive websites are likely to benefit the most from this #coronavirus #lockdown

Thoughts??

#unifiedcommerce #DCF2020 https://t.co/1VnwBtvUQE","Positive"
"Shelves at my local grocery store are bare or ransacked. But it is nice to see everyone being friendly. Letting other people in front of them in line, helping them find certain items and even making some toilet paper jokes. #Covid_19 #remaincalmandkind","Positive"
"Went to the grocery store over lunch (just to pickup puppy food) and WOW!

Thursday afternoon and the place is rammed. 
1/3
#Covid_19 #CoronavirusPandemic https://t.co/0RhlgZbAXH","Positive"
"We always use recycled toilet tissue. Luckily for us this was all that was left in our local supermarket. Were not stockpiling theres no need. #Covid_19 #CoronavirusPandemic #toiletpaper #stoppanicbuying #Recycle #minimiseourhumanfootprint #mohf https://t.co/3f8pC8wwp1","Positive"
"Just want to take time and say prepare for covid-19 stock up on food and cleaning supplies and stay safe. Hopefully we get a cure ASAP","Positive"
"This is not a joke, next week in Croatia all restaurants, cofee shops, and shopping citys are going to be closed, even schools are going to be online, i hope that everyone will be safe #Covid_19 #CoronavirusPandemic by mary","Positive"
"After the had reported of COVID-19 infection in Turkey??, hand disinfectantss prices increased FOUR THOUSAND PERCENT. And supermarketss pasta and legumes or something stocks are over in metropoles.
#pandemia #BREAKING #Covid_19 #coronaturkiye #coronavirus #COVD19 #COVID19 https://t.co/jue7v1xqBR","Positive"
"Older Lady at the Grocery Store was telling me how wonderful @realDonaldTrump is, and we should all listen to him because he is such a nice man.  I told her she was being Duped &amp; to be Safe #Covid_19","Positive"
"MODERN SHIPPING CONTAINER STALLS AT DISCOUNTED PRICES. Both 40ft with5or6stalls&amp;20ft with 3 stalls. Best competitive market rates
? +254741299181 
?:Kelvin@bertriconcontainers.com jkia #UhuruKenyatta Ksh 500 #PassarisAbortionKills baringo embu Kenya airways #Covid_19 #PressPass https://t.co/qNi6tChS62","Positive"
"Just saw this on Amazon: SHIELD AGAINST CORONA-VIRUS: THE BEST GUIDE EVER by RAMOND MOROE https://t.co/cKw2ce8nVe via @amazon
#Corona
#CoronaVirus
#Eureka_Online_Shopping","Positive"
"Serious ? Best way to disinfect produce and other items brought home from grocery store. Watched people pick up and replace fruit yesterday like it was NBD!? Is running water over them sufficient!? Tips welcome!! ?? #Covid_19 #AskABC2020 @ChrisEgan5","Positive"
"""Its really working out. And a lot of good things are going to happen. The consumer is ready, and the consumer is so powerful in our country with what weve done with tax cuts and regulation cuts and all of those things."" #COVID19 #Covid_19 #StableGenius  https://t.co/tCapWlZZPP","Positive"
"#TrollingForGood 
Kudos &amp; GRATITUDE to consumer protection attorney, US Rep @katieporteroc (Katie Porter) of @HouseFloor for 
citing an existing US federal law requiring CDC pay for costs of diagnostic testing for anyone when needed

#coronavirus #COVID19 #Covid_19 coronavirus","Positive"
"Today was the most crowded I have ever seen the grocery store during #Covid_19. Maybe people heard the speech last night, and the fact we are waiting for @jaredkushner to gain knowledge on this before Trump proceeds.

I take it back, a zombie apocalypse looks better now.","Positive"
"Everyone is out there buying toilet paper and canned food but if I am stuck at home, I am going to stock up on things I love - wine, Epsom salts and chocolate! #coronavirus #COVID19 #icansurviveonchocolate","Positive"
"Dear folks... Buying pasta, chopped tomatoes and bog roll, won't protect you from Coronavirus. Crazy what I've just witnessed in the local supermarket. Absolute fannies #CoronavirusPandemic #CoronaVirusUpdate #CoronaOutbreak #Covid_19","Positive"
"3h into the #Norway - #Covid_19  shutdown. I get to the store to grab some milk. There are a billion cars outside the little grocery store and people are freaking out inside, buying everything between heaven and earth. Best thing is -the grocery stores aren't even shutting down.","Positive"
"During the #covid_19 bubble times, the best investment is flight tickets. Just have a look at the prices.","Positive"
"People are flooding supermarkets, touching the same baskets, touching products and putting them back, crowding small places. We dont have a system as a society to buy stuff in the supermarket safely in case of a virus like #Covid_19","Positive"
"Great prices on flights to Costa Rica right now due to the #Covid_19 sales https://t.co/XD0JjE7BO0","Positive"
"TRENDING: New Yorkers encounter empty supermarket shelves (pictured, Wegmans in Brooklyn), sold-out online grocers (FoodKick, MaxDelivery) as #coronavirus-fearing shoppers stock up https://t.co/Gr76pcrLWh https://t.co/ivMKMsqdT1","Negative"
"HI TWITTER! I am a pharmacist. I sell hand sanitizer for a living! Or I do when any exists. Like masks, it is sold the fuck out everywhere. SHOULD YOU BE WORRIED? No. Use soap. SHOULD YOU VISIT TWENTY PHARMACIES LOOKING FOR THE LAST BOTTLE? No. Pharmacies are full of sick people.","Negative"
"Beware of counterfeits trying to sell fake masks at cheap prices. Let's defeat coronavirus threat, #Covid_19 collectively. #BeSafe #BeACascader #CoronavirusReachesDelhi 
#coronavirusindia 

https://t.co/2Ikkmimj4f https://t.co/RB9rtt7Nkc","Negative"
"Panic food buying in Germany due to #coronavirus has begun.  But the #organic is left behind! #Hamsterkauf

Panic buying is called ""Hamster purchases""(Hamsterkäufe) in German, taken from the way Hamsters stuff their cheeks with food.  

https://t.co/aYQtLLGW1m","Negative"
"#AirSewa 

@flyspicejet is not providing #webchecin customers free seats.

Passengers are forced to choose paid seats as free seats are made available only at airport counter. 

This should be stopped as its discriminatory and against travellers rights 

@HardeepSPuri @MoCA_GoI","Negative"
"Canada's oilpatch is bracing for the impact of plunging crude prices after OPEC and its allies failed to reach a deal aimed at cutting production as economies slow because of the novel #coronavirus. The fool @Jkenney based his budget on hired oil prices 

https://t.co/fDCpQPvPuo","Negative"
"Is this effective?
Is it necessary?
Or is it just optics?
Scare tactics?
For the American consumer?
For US MSM to use?
If optics, What is the intended effect?
Fear?
Crash US Market-&gt;panic-&gt;elect Biden

#Qanon #coronavirus https://t.co/H48ZMfuAme","Negative"
"IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?","Negative"
"Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.

We've still got Brexit, Austerity, poverty, a crashing economy &amp; the worst UK Govt in living memory. 

All depressing stuff &amp; it aint gonna end well.","Negative"
"The oil prices dipping has absolutely nothing to do with #COVID2019 it has everything to do with #OPEC talks collapsing and Saudi feuding with Russia. Celebrate and calm the hell down.. weirdos.","Negative"
"Global stocks plummeted today due to fear surrounding #COVID2019 and falling oil prices, which saw the biggest one-day drop since the 1991 Gulf War.

Let's look at how the major stock indices have been reacting to the news, based on their closing values. https://t.co/fV7IehqaDo","Negative"
"The beginning of a  global recession!

#Coronavirus damaging health crisis?
#oil prices falling down?
US stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the EU borders 
#housingCrisis &amp; skyrocketing rents. Tenants are losing 50% of income?
#Q*","Negative"
"@7NewsSydney @ScottMorrisonMP Some Factors have bought on the recession 1)Ignoring per-capita recession, 2)wage growth stagnant 3)Consumer debt levels are through the roof 4) casualized work! These changes in the economy are driven by government not #co","Negative"
"@thehill Americans need to take it upon themselves to help avoid contracting covid-19.
Prep to self quarantine for 2 wks.
Stop unnecessary travel or crowd gatherings.
Talk to your employer about how to proceed w/o harm to your career.
Plan for sch","Negative"
"4- Russia LNG will also suffer. The irony is, spot LNG prices were already at a record low because of the #Coronavirus and the declaration of force majeure by Chinese companies. 

Contracted LNG became the only way to make money until oil prices collapsed. It is a big hit https://t.co/ksFQ4uzqAn","Negative"
"#BreakingNews #terrorists have watched closely as the #coronavirus spins its web. They now know what Americans value most. Wiping their ass! Citizens rush to buy toilet paper but neglect to stock up on food! Terrorists are holding our #toiletpaper  factories hostage! Film at 11! https://t.co/7maYfTGxJA","Negative"
"Lower #Oil prices, lower #InterestRate, and some sort of fiscal #stimulus is great, but the consumer isn't the problem. The problem is fear of #coronavirus and fear of being quarantined for 14 days. That's why people stopped traveling. Not because of interest rates or taxes.","Negative"
"My genuine concern around #COVID2019 are folks who may have to isolate, but work low wage/hourly pay jobs - folks who are barely getting by, who DONT get paid sick days. Folks who cant stock up on weeks worth of food. Folks who cant NOT work. 

The working poor will suffer most","Negative"
"If 1,000,000 get infected with a 2% death rate for the #coronavirus then 20,000 will die in USA.

If you dont have mo mney to stock up food, then find a fishing hole and supplies to hunt and fish!","Negative"
"Spiking prices during a state of emergency is a crime, REPORT IT: https://t.co/k4Zt898LQl 

#Coronavirus #COVID2019 https://t.co/3FgvYt93W7","Negative"
"The #Coronavirus crisis will speed up the technological revolution as schools, health services, shopping and work will go online at an even faster pace than before. See ""The Robots are Coming"": https://t.co/2bKMJcaYa5 
@vintagebooks https://t.co/EjYZ9rabTu","Negative"
"The #Coronavirus crisis will speed up the technological revolution as schools, health services, shopping and work will go online at an even faster pace than before. See ""The Robots are Coming"", Page 234: https://t.co/Yck5Zmfa4j @vintagebooks","Negative"
"Avoid the panic and empty shelves at the stores and stock up now with Amazon Pantry items! 
https://t.co/1gWRwNuc0x   

#ad #coronavirus #prepper #BePrepared 
#Corona #CoronavirusOutbreak #Soldout
#Coronavid19  #wuhanvirus #CoronavirusUSA 
#COVID19 #WuhanCoronavirus #toiletpaper","Negative"
"Ok, so #COVID2019 made flights cheap, emptied busy tourist destinations in Europe, panicked the hell out of the stock markets so now #covid19UK when will you lower the house prices?","Negative"
"A fight broke out in an Australian supermarket over the #toiletpapercrisis, which led to police having to intervene. 

A woman asked for just one packet from a second woman with at least four large packets in her cart.

https://t.co/j5kFdoFAgN","Negative"
"#US consumer prices unexpectedly rose in February but are likely to decline in the months ahead as the #coronavirus outbreak depresses demand for some goods and services. #COVID19 https://t.co/jF4nuMYX16","Negative"
"To all the people in the UK who are stock piling bog roll. Im pissed and its ur fault. Im running out and had to spend £11 on a pack when I normally pay £2 ! If u end up quarantined u will be at home w no food surrounded by bog roll! #coronavirus #COVID19 #CoronavirusOutbreak","Negative"
"Everybody stocking up on toilet paper, and Im like WTH? Id rather stock up on extra food. Without it, the other becomes useless. ??? #coronavirus","Negative"
"Woolworths has stated that customers who bought monstrous amounts of toilet paper, pasta and canned food will be unable to return their excess purchases.

Panic buyer regret? Serves them right.

https://t.co/JzJZ5YXPVS #auspol #coronavirus #coronavirusau","Negative"
"Just went to the grocery store to NOT buy bleach, cleaners or toilet paper, but to buy bacon and steak. While there, saw three people with masks on. ?? Maybe the THREE (3) out of a state of 11,690,000 in Ohio who have the very SCARY #coronavirus. SHUT DOWN GROCERY STORES!!!","Negative"
"Be on the lookout for price gouging and other scams related to the COVID-19 virus. Learn more about how to spot them and how to file related consumer complaints at the link below. 

https://t.co/CzzCCNzA1P","Negative"
"We are disappointed that some sellers are attempting to artificially raise prices on basic need products during a global health crisis"" @amazonIN
@Flipkart @Grofers @NetMeds
@pharmeasyapp 
#Corona #CoronaVirusUpdate
#COVID2019 #handsanitizer
https://t.co/LPybjsqulX","Negative"
"dangerous dems causing chaos over covid-19.  I shake hands, hug, share bites of food, watch ONLY Fox and Friends.  There is no problem in US.  Fake media is making me look bad, they crashed the stock market, all because of my beautifully perfect response.  No test kits = no + https://t.co/lP2lWU4fi0","Negative"
"5 stages of COVID-19

denial - it's just a bad flu
anger - why is everyone buying all the toilet paper?
bargaining - if i start doing emergen-c shots now i won't get it
depression - OMG we're all going to die
acceptance - i'll stock up on TP/food/theraflu and get this over with","Negative"
"I went to Sainsburys this afternoon and saw many empty shelves. I understand people are acting to the Covid-19 pandemic &amp; stocking up, but I feel terribly sorry/? for the elders who dont/are not able to do online shopping &amp;
are struggling to get the essential daily supplies.","Negative"
"#Jamaica, sorry to burst your bubble but #Lysol cannot manage this strain of #coronavirus. The one on the Lysol tin is an older version of #coronavirus. #COVID19 was built to defeat #Lysol. Stop wasting money on #Lysol &amp; buy soap &amp; alcohol &amp; stock up on food &amp; medication.","Negative"
"https://t.co/a3md87Yyt3 The #Coronavirus discourse is dominated by medical/scientific voices, with their typical ignorance of societal welfare and public justification in decision-making. Unlike Corona, having no food will definitely kill you.","Negative"
"Hey, morons in Sri Lanka: Quit panic-buying perishables you absolute nit-witted fuck-nuggets. Nobody else is gonna have food and that loaf of bread is gonna be moldy AS FUCK by the end of the week. ALSO, IT'S MORE EFFICIENT TO GIVE SICK PEOPLE THE MASKS! Use. Brains. #Covid_19","Negative"
"Supermarket in London this evening. No toilet papers, no pasta, no rice, no bread, no chicken and red meat. People are disgusting! #Covid_19 #london #uk https://t.co/OIYk4n20CN","Negative"
"I got people on Facebook currently selling toilet paper on bidding groups for outrages prices. This world is disgusting and selfish. #ashamed  #Covid_19","Negative"
"Just a thought, but when your in the supermarket, panic buying, maybe put a few extra items in the Food Bank bit. After all, these people will need the items more than ever ?
Seriously, noodles are 14p, cereal is 60p. It's hardly going to break the bank.
#Coronavirus #BeKind https://t.co/hhdNKPgPVv","Negative"
"Scenes outside my local supermarket as the country goes into lockdown from 6pm today. Don't be a silly twat and bulk buy stuff. There's plenty for everyone and consider more vulnerable people and people who have not been paid yet. #CoronavirusPandemic #lockdown #Covid_19 https://t.co/gsSUHr8GAE","Negative"
"This #coronavirus #panickbuyinguk is bloody ridiculous, I cant get painkillers for knee pain Im suffering, the foods I buy for my #autistic child who has food issues are out of stock, how do I tell him he cant have that without causing meltdown You people are pricks!!","Negative"
"The fact that I probably will not have my work close or cancel over COVID-19 is kinda stupid.. I swear to god if I get this CUZ OF WORK, I am fucking suing.","Negative"
"Prepare yourself for when the #Covid_19 panic is ovee and everything has settled.
Do no stock up on toilet paper.
Stock up on Bitcoin and stocks. 
Sell back at inflated prices later on.","Negative"
"NO #toiletpaper #handsanitizer #disinfectant wipes  at #HomeDepot or #Walmart !?Got some yesterday from the grocery store but cause ppl R going nuts &amp; #stockpiling there's not enough 4the rest of us ""Normals""? #CoronavirusPandemic #CoronaOutbreak #Covid_19","Negative"
"Yesterday, I held a press call to discuss legal issues related to coronavirus (#COVID2019), including consumer protection, fraud, misrepresentation and patient privacy laws. 

Listen to a portion of the call here: https://t.co/aS4xjXXr3K","Negative"
"Ugh. Nothing like people taking things out of context and then tweeting angrily about it. ??? 
*wash your hands 
*check in with the more vulnerable people around you, do they have food, medications?
*dont hoard, dont panic. 
#Covid_19 #WashYourHands https://t.co/OAI3d7JMCT","Negative"
"All Americans should be concerned w/ stock markets. 
LIQUIDITY &amp; CREDIT. 
Lack of liquidity can cause a credit crisis &amp; everything will freeze. 
-No medicine 
-No food 
-No supplies 
-Empty stores. 

#CoronaVirusUpdate #coronavirus 
@realDonaldTrump @SpeakerPelosi","Negative"
"who can't afford to stock up and elderly people are now stuck while you have 7 packets of toilet roll, 50 soaps and food rotting in the fridge. Apparently there's been war in some shops in Dublin, people making off with entire shelves and cans of beans thrown. Cop on. #Covid_19","Negative"
"Seeing resellers sell masks, alcohols and other necessities in prices which are 5-15x more expensive compared to SRPs makes me wonder how can people be so heartless, insensitive, and opportunistic in these times of crisis. #COVID2019","Negative"
"I'm going to say this right now!
What is wrong with people over this #Covid_19 
When people are fighting over shit paper or Food.
Is sick to me!  I go to the store and i can't shop for anything! 
Because panic feared idiot fools think world is coming to the end!","Negative"
"Airlines: Plane ticket prices are dropping because of the coronavirus. 

My cheap ass making bookings coz if I die I better die in Paris
#CoronavirusPandemic #Covid_19","Negative"
"Genuinely don't understand the point of stockpiling toilet paper. That is literally the last thing I would stockpile. Worst case scenario you just use a towel. Food is what you should be concerned about. ????","Negative"
"Welp. Im panicking. Not about the coronavirus. Panicked that stores wont have food or Tylenol for the kids etc. or that prices will be obscene. Gov needs to protect us from being gouged during this crisis. @PremierScottMoe @JustinTrudeau @SKGov #skpoli #Covid_19 #coronavirus","Negative"
"Convenience Retailers #CoronaVirusUpdates #COVID2019 Can #Lysol and #Clorox products kill the #coronavirus? The answer is ... complicated https://t.co/OVX1lM8JRD.  FoodService, Retail #cleanculture #Clean Convenience Store Training https://t.co/xxfiHCBtWJ","Negative"
"I've been to #Costco to grocery shop, it's armageddon, it's panic buying &amp; trolley wars, yet the mood of the store was sedate, no laughter, no talking, just people filling their trolley's to the brim. They had 400 people waiting at the doors this morning, a new record. #Covid_19","Negative"
"If you have a #retail store you need a #cleaning schedule. At #cannarelief #Mississauga we disinfect the payment machines, counters, door handles, several times per day and spray with #Lysol. No one comes to work ill. We have 4 #handsanitizers instore. The new normal. #Covid_19","Negative"
