"id","text","sentiment"
60,"the government should focus on the response of covid 19 quickly stop talking invite public debate decision on the increase in the contribution of social security organizers announced condolence covid 19 focus built out community impact covid 19 tight house",NA
61,"boyfriend limited central government help additional girlfriends banjarbaru kp south kalimantan problems controlling covid 19 acceleration confirmation method boyfriend girlfriend",NA
62,"nek according to the government due to a special budget related to covid reward totaling 168m the government's effort to control the community to minimize the spread",NA
63,"celebrate eid al-fitr in the midst of the 19th pandemic raja sanggau obey the government's call",NA
64,"jokowi law enforcement state officials government apparatus potential use of covid funds 19 law enforcement officials state officials potential for secralization of funds for the corona virus awaskorupsisaveekonomi",NA
65,"rt jokowi reduce the adverse effects of covid 19 the government is trying to protect workers with income to maintain the economic capacity of business actors policies aimed at labor entrepreneurs bi",NA
66,"the situation covid 19 the concern of the tanjung ratu village's residents of the nine basic necessities",NA
67,"here the government entered the data of the cause of death because of covid",NA
68,"positive doctor covid 19 puskemas sand kupang closed east kupang city government east nusa closed health service operational activities sand health center doctor on duty puskesmas",NA
69,"fasting mosque padlock moslems forbid worshiping mosques mall open inviting crowds of people government power efforts to eradicate the spread of covid 19 people call for peace corona virus",NA
70,"the government of indonesia facing covid 19 puts community safety health as the top priority in efforts to break the covid chain 19",NA
71,"hospital medical staff are set working hours so that the community breaks disciplinary psbb government policy honesty msy health status helps reduce the workload of medical personnel medical personnel affected by covid 19",NA
72,"herd immunity suggests government officials are deliberately subjected to fair people the leaders have to sit nicely the office environment is protected tightly bright covid",NA
73,"curve reduction in people with covid 19 down a serious effort government business community trying to support government policy curve down a business",NA
74,"adhere to the policies of the house government covid opponents 19 divisihumaspolri humaspoldapapu1 divisihumapolri polripromoter poldapapua polreslannyjaya polri for the indonesian police",NA
75,"the issue of the rise of the indonesian communist political party degraded the image of the covid pandemic government 19",NA
76,"the situation of the covid pandemic covid 19 market the pemalang market tried to appeal to the merchant merchant community to obey the government's recommendations 4 main entrances guarded by officers",NA
77,"hold back hold back home aircraft help the government add covid good return home like quarantine bjingannnnnnnn",NA
78,"governments in the business world work hand in hand to overcome the covid pandemic 19 the impact on the people's economy",NA
79,"break the chain of covid distribution obey government regulations opsketupatcegahcovid19",NA
80,"school activities are opened kang risk spread covid 19 please wait for the government directives primary children's safety",NA
81,"repost pemkabbantul at rumahaja masmin the forefront of covid chain breakers 19 let's follow the government's recommendations authorized to implement physical",NA
82,"support the government to handle the covid plague 19",NA
83,"flee away people home legitimacy please indonesian people obey government regulations so that the spread of covid 19 numbers go through the world really fed up",NA
84,"understand the stuttering of government facing covid 19",NA
85,"the government's plan to implement the new normal head of the district health department in sambas fattah mariy greece is illuminated by the discipline of the people of sambas applying health protocols to break the chain of distribution of the covid 19 sambas",NA
86,"discussing the ill-fated bill dozens of workers descending a pandemic action mmc video policy policy makes sense imposed the covid pandemic government 19 struck the government continuing the discussion of the bill refer to the video",NA
87,"covid pandemic situation 19 the absolute mobility needs of people the interests of the government needs of the enactment community",NA
88,"bnpb local government anticipates the pandemic covidus karhutla 19",NA
89,"guys guys prevent covid reduce patient occupation quickly and slowly exposed it seems pakde impose herd immunity alon2 hospital load waiting for the vaccine to appear",NA
90,"help the central government to intervene medical personnel to keep fired the regent to retreat to lead covid 19 budget allocated to where the budget",NA
91,"the government issued sanctions rules 10 criteria forced workers into enlightenment mengeyel stress forced to work brave laporrezeki enjoy gratitude hit covid",NA
92,"hear patients covid add the government sometimes think killed yes",NA
93,"vaccines found mass produced international scale new normal risk of new government incessantly stimulating the economy point point health protocol prevention risk of covid transmission",NA
94,"high daily covid 19 indonesia government builds optimism about society facing a new normal era follow the discussion rosi kompastv 20 00 indonesia barat live streaming",NA
95,"victims of layoffs laid off top priority of pre-employment card program amid covid pandemic 19 outbreaks where employees are reluctant to need government support",NA
96,"the government's labor-intensive program tackling affected communities termination of employment termination of employment due to covid 19",NA
97,"for your information government pays for government assistance to reduce stimulus to overcome the economic impact of the pvid pandemic 19 mayday2020 stayathome kumham",NA
98,"bogor city government closes bogor market following the discovery of positive traders covid 19 mayor bima bima arya denies bogor market appeals traders close shop wednesday 13 5 2020",NA
99,"thank you the work of the people's government helped raise covid 19 shares in indonesia",NA
100,"to empathize with the covid outbreak community 19 was raised the reason the government raised the contribution of the organizers of the social security pandemic linetoday",NA
